,0,1
366,38.5,no rain
367,38.5,no rain
368,38.5,no rain
369,38.5,no rain
370,38.5,no rain
371,38.6,no rain
372,38.6,no rain
373,38.6,no rain
374,38.6,no rain
375,38.6,no rain
376,38.6,no rain
377,38.6,no rain
378,38.6,no rain
379,38.6,no rain
380,38.6,no rain
381,38.6,no rain
382,38.6,no rain
383,38.6,no rain
384,38.6,no rain
385,38.6,no rain
386,38.6,no rain
387,38.6,no rain
388,38.5,no rain
389,38.5,no rain
390,38.5,no rain
391,38.5,no rain
392,38.5,no rain
393,38.5,no rain
394,38.5,no rain
395,38.5,no rain
396,38.5,no rain
397,38.5,no rain
398,38.5,no rain
399,38.5,no rain
400,38.5,no rain
401,38.5,no rain
402,38.5,no rain
403,38.5,no rain
404,38.5,no rain
405,38.5,no rain
406,38.5,no rain
407,38.5,no rain
408,38.5,no rain
409,38.5,no rain
410,38.5,no rain
411,38.5,no rain
412,38.5,no rain
413,38.5,no rain
414,38.5,no rain
415,38.5,no rain
416,38.5,no rain
417,38.5,no rain
418,38.5,no rain
419,38.5,no rain
420,38.5,no rain
421,38.5,no rain
422,38.5,no rain
423,38.6,no rain
424,38.6,no rain
425,38.6,no rain
426,38.6,no rain
427,38.7,no rain
428,38.7,no rain
429,38.7,no rain
430,38.7,no rain
431,38.8,no rain
432,38.8,no rain
433,38.8,no rain
434,38.8,no rain
435,38.9,no rain
436,38.9,no rain
437,38.9,no rain
438,38.9,no rain
439,39.0,no rain
440,39.0,no rain
441,39.0,no rain
442,39.1,no rain
443,39.1,no rain
444,39.1,no rain
445,39.2,no rain
446,39.2,no rain
447,39.2,no rain
448,39.3,no rain
449,39.3,no rain
450,39.3,no rain
451,39.3,no rain
452,39.4,no rain
453,39.4,no rain
454,39.4,no rain
455,39.4,no rain
456,39.4,no rain
457,39.5,no rain
458,39.5,no rain
459,39.5,no rain
460,39.5,no rain
461,39.6,no rain
462,39.7,no rain
463,39.7,no rain
464,39.7,no rain
465,39.7,no rain
466,39.7,no rain
467,39.7,no rain
468,39.8,no rain
469,39.8,no rain
470,39.8,no rain
471,39.8,no rain
472,39.8,no rain
473,39.8,no rain
474,39.9,no rain
475,39.9,no rain
476,39.9,no rain
477,39.9,no rain
478,39.9,no rain
479,40.0,no rain
480,40.0,no rain
481,40.0,no rain
482,40.0,no rain
483,40.0,no rain
484,40.0,no rain
485,40.1,no rain
486,40.1,no rain
487,40.1,no rain
488,40.1,no rain
489,40.1,no rain
490,40.1,no rain
491,40.2,no rain
492,40.2,no rain
493,40.2,no rain
494,40.2,no rain
495,40.2,no rain
496,40.3,no rain
497,40.3,no rain
498,40.3,no rain
499,40.3,no rain
500,40.3,no rain
501,40.3,no rain
502,40.3,no rain
503,40.4,no rain
504,40.4,no rain
505,40.4,no rain
506,40.4,no rain
507,40.4,no rain
508,40.4,no rain
509,40.5,no rain
510,40.5,no rain
511,40.5,no rain
512,40.5,no rain
513,40.5,no rain
514,40.6,no rain
515,40.6,no rain
516,40.6,no rain
517,40.7,no rain
518,40.7,no rain
519,40.7,no rain
520,40.7,no rain
521,40.7,no rain
522,40.8,no rain
523,40.8,no rain
524,40.8,no rain
525,40.8,no rain
526,40.8,no rain
527,40.9,no rain
528,40.9,no rain
529,40.9,no rain
